"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.3","1009.7","1011.0","2018-06-01 22:42","1008.0","2018-06-01 15:22","30.6","34.1","2018-06-01 15:18","28.8","2018-06-01 05:38","24.3","69","57","2018-06-01 15:48","2.5","310","9.4","330","2018-06-01 13:46","0.0","0.0","0.0","","0.0","","6.2","46.3","21.44","10.3","7.6","10","2018-06-01 13:00","6.2"
"02","1009.6","1009.9","1010.6","2018-06-02 22:07","1008.2","2018-06-02 16:45","29.7","32.0","2018-06-02 13:54","27.6","2018-06-02 05:03","23.4","69","63","2018-06-02 19:30","2.0","320","7.2","290","2018-06-02 12:22","0.0","0.0","0.0","","0.0","","9.3","69.5","23.22","8.0","5.9","10","2018-06-02 12:00","3.5"
"03","1008.2","1008.6","1010.0","2018-06-03 00:02","1005.9","2018-06-03 16:06","29.7","32.8","2018-06-03 15:11","27.4","2018-06-03 04:31","23.8","71","58","2018-06-03 15:11","2.1","290","8.2","290","2018-06-03 14:02","0.0","0.0","0.0","","0.0","","10.7","79.9","23.88","9.3","7.1","11","2018-06-03 13:00","5.0"
"04","1008.5","1008.8","1010.2","2018-06-04 22:21","1006.7","2018-06-04 15:15","30.2","33.0","2018-06-04 13:25","28.0","2018-06-04 05:20","24.4","71","67","2018-06-04 14:07","1.6","60","6.6","280","2018-06-04 12:55","0.0","0.0","0.0","","0.0","","11.3","84.3","25.61","11.0","5.9","12","2018-06-04 13:00","2.5"
"05","1008.9","1009.2","1010.3","2018-06-05 08:54","1007.5","2018-06-05 15:20","30.5","33.7","2018-06-05 11:43","27.6","2018-06-05 04:37","24.4","70","61","2018-06-05 11:42","1.8","210","6.8","210","2018-06-05 14:36","0.0","0.0","0.0","","0.0","","12.5","93.2","25.02","14.3","6.4","13","2018-06-05 13:00","4.0"
"06","1008.1","1008.5","1009.4","2018-06-06 00:04","1006.2","2018-06-06 16:43","30.3","33.5","2018-06-06 12:32","27.9","2018-06-06 05:36","24.3","71","62","2018-06-06 09:18","1.6","50","8.1","200","2018-06-06 15:21","2.0","0.6","1.5","2018-06-06 17:36","1.5","2018-06-06 17:30","10.6","79.0","24.37","13.0","-6.3","12","2018-06-06 13:00","5.3"
"07","1006.5","1006.9","1008.0","2018-06-07 00:02","1004.6","2018-06-07 15:40","30.6","33.6","2018-06-07 11:02","28.0","2018-06-07 03:52","24.7","71","59","2018-06-07 18:16","2.0","310","8.0","310","2018-06-07 12:22","0.0","0.0","0.0","","0.0","","8.6","64.0","23.72","9.0","4.5","12","2018-06-07 12:00","6.5"
"08","1002.8","1003.1","1005.8","2018-06-08 00:01","1000.5","2018-06-08 16:02","30.6","34.2","2018-06-08 13:37","27.8","2018-06-08 04:30","24.7","71","60","2018-06-08 13:36","2.6","310","9.2","350","2018-06-08 17:45","0.0","0.0","0.0","","0.0","","10.5","78.2","24.88","9.3","6.8","12","2018-06-08 12:00","3.5"
"09","1000.4","1000.7","1001.5","2018-06-09 07:01","998.1","2018-06-09 15:19","30.5","33.8","2018-06-09 15:36","28.7","2018-06-09 02:55","24.9","72","65","2018-06-09 15:36","2.2","290","7.1","310","2018-06-09 12:15","0.0","0.0","0.0","","0.0","","10.8","80.4","24.30","11.7","-4.0","12","2018-06-09 12:00","5.2"
"10","999.9","1000.2","1001.2","2018-06-10 09:51","998.4","2018-06-10 15:53","30.5","33.1","2018-06-10 11:51","27.7","2018-06-10 21:48","25.0","73","67","2018-06-10 17:49","1.9","200","7.6","200","2018-06-10 11:34","6.0","1.0","4.0","2018-06-10 21:35","4.0","2018-06-10 21:35","9.3","69.2","23.93","12.8","-5.2","11","2018-06-10 12:00","6.3"
"11","1000.7","1001.0","1003.9","2018-06-11 22:49","998.5","2018-06-11 02:58","29.3","32.1","2018-06-11 09:53","26.8","2018-06-11 11:03","24.9","77","72","2018-06-11 09:51","2.4","320","10.5","290","2018-06-11 11:02","42.5","2.9","13.0","2018-06-11 10:53","28.0","2018-06-11 10:02","2.8","20.8","11.76","8.7","-3.8","7","2018-06-11 14:00","7.5"
"12","1002.6","1002.9","1004.6","2018-06-12 10:23","1001.2","2018-06-12 20:02","30.1","32.8","2018-06-12 15:04","28.0","2018-06-12 05:26","23.3","67","57","2018-06-12 15:01","2.2","310","7.9","180","2018-06-12 12:58","0.0","0.0","0.0","","0.0","","10.1","75.1","24.58","11.0","6.5","11","2018-06-12 13:00","2.2"
"13","999.2","999.5","1001.6","2018-06-13 00:13","997.3","2018-06-13 16:25","29.9","32.9","2018-06-13 09:25","27.1","2018-06-13 05:07","23.0","67","57","2018-06-13 08:34","2.2","290","7.9","300","2018-06-13 11:19","0.0","0.0","0.0","","0.0","","8.2","60.9","20.73","10.3","-6.5","9","2018-06-13 12:00","6.5"
"14","995.4","995.7","998.3","2018-06-14 00:01","990.7","2018-06-14 19:02","27.6","29.3","2018-06-14 00:01","25.9","2018-06-14 23:11","23.5","78","69","2018-06-14 00:06","4.8","160","18.8","180","2018-06-14 20:31","70.5","14.3","7.0","2018-06-14 15:39","12.0","2018-06-14 15:32","0.2","1.5","4.06","8.8","/","6","2018-06-14 11:00","9.3"
"15","996.9","997.2","1002.0","2018-06-15 22:32","992.9","2018-06-15 02:13","27.6","29.2","2018-06-15 14:11","25.4","2018-06-15 05:12","23.5","79","73","2018-06-15 17:08","3.5","340","16.6","180","2018-06-15 06:06","109.0","8.4","16.5","2018-06-15 06:02","53.5","2018-06-15 05:16","0.0","0.0","3.36","7.2","-1.0","3","2018-06-15 13:00","9.7"
"16","1002.9","1003.2","1004.6","2018-06-16 22:06","1000.4","2018-06-16 02:34","28.1","30.6","2018-06-16 12:43","25.3","2018-06-16 17:00","23.6","77","72","2018-06-16 20:51","3.1","160","11.0","150","2018-06-16 17:08","56.0","4.5","9.5","2018-06-16 16:51","33.0","2018-06-16 16:14","3.3","24.5","15.84","9.7","-0.6","9","2018-06-16 11:00","8.2"
"17","1004.3","1004.6","1006.4","2018-06-17 22:56","1002.7","2018-06-17 03:07","27.2","29.5","2018-06-17 09:16","24.6","2018-06-17 23:12","23.0","78","68","2018-06-17 07:09","3.0","150","11.0","160","2018-06-17 10:08","100.5","12.0","13.5","2018-06-17 22:49","31.5","2018-06-17 22:42","0.0","0.0","3.78","6.3","/","3","2018-06-17 10:00","10.0"
"18","1004.8","1005.2","1006.3","2018-06-18 22:08","1003.4","2018-06-18 15:26","27.9","30.7","2018-06-18 11:40","25.4","2018-06-18 00:01","24.3","81","75","2018-06-18 13:17","3.0","160","11.0","150","2018-06-18 13:05","26.0","7.3","3.5","2018-06-18 02:35","10.5","2018-06-18 03:39","0.7","5.2","7.80","7.8","-2.5","8","2018-06-18 12:00","10.0"
"19","1006.8","1007.2","1009.3","2018-06-19 21:48","1004.6","2018-06-19 01:26","26.4","28.1","2018-06-19 00:05","24.7","2018-06-19 23:49","23.4","84","79","2018-06-19 00:05","2.0","170","10.7","200","2018-06-19 10:17","146.5","19.0","10.0","2018-06-19 10:17","22.5","2018-06-19 23:00","0.0","0.0","1.11","5.3","/","2","2018-06-19 10:00","10.0"
"20","1007.6","1008.0","1009.1","2018-06-20 09:24","1006.3","2018-06-20 03:03","25.5","27.0","2018-06-20 13:53","24.5","2018-06-20 02:35","24.3","93","86","2018-06-20 16:04","1.7","70","8.3","350","2018-06-20 08:32","193.5","16.5","15.5","2018-06-20 07:01","42.0","2018-06-20 01:01","0.0","0.0","2.42","18.8","-1.8","3","2018-06-20 13:00","10.0"
"21","1007.9","1008.3","1008.9","2018-06-21 10:17","1006.3","2018-06-21 18:57","27.3","31.5","2018-06-21 11:23","24.9","2018-06-21 05:23","24.3","84","74","2018-06-21 11:36","1.5","60","11.0","310","2018-06-21 11:59","59.0","4.8","16.5","2018-06-21 00:56","27.5","2018-06-21 00:48","1.0","7.4","9.90","10.2","-1.4","8","2018-06-21 12:00","8.5"
"22","1008.4","1008.8","1009.6","2018-06-22 21:57","1006.9","2018-06-22 02:53","28.2","30.7","2018-06-22 12:14","26.1","2018-06-22 04:46","24.9","82","78","2018-06-22 13:16","1.7","170","8.1","240","2018-06-22 12:27","13.0","1.9","4.0","2018-06-22 12:25","5.5","2018-06-22 14:30","4.4","32.7","15.86","10.7","-0.7","9","2018-06-22 14:00","7.4"
"23","1008.9","1009.2","1010.2","2018-06-23 21:38","1007.5","2018-06-23 15:30","29.2","31.6","2018-06-23 15:01","27.2","2018-06-23 00:26","25.1","79","74","2018-06-23 14:38","2.0","180","6.7","220","2018-06-23 08:13","2.0","0.6","1.0","2018-06-23 08:08","1.5","2018-06-23 07:53","6.5","48.2","19.01","13.2","3.0","12","2018-06-23 12:00","5.9"
"24","1009.9","1010.2","1011.3","2018-06-24 22:13","1008.8","2018-06-24 17:21","29.4","32.2","2018-06-24 15:55","27.3","2018-06-24 05:15","25.1","77","71","2018-06-24 11:02","1.5","160","6.0","210","2018-06-24 10:45","0.0","0.0","0.0","","0.0","","7.0","52.0","22.94","12.0","7.5","11","2018-06-24 14:00","8.0"
"25","1010.8","1011.1","1012.0","2018-06-25 22:19","1009.2","2018-06-25 16:08","29.6","32.0","2018-06-25 11:50","27.1","2018-06-25 04:51","24.9","76","70","2018-06-25 12:39","1.9","210","6.3","230","2018-06-25 12:27","0.0","0.0","0.0","","0.0","","12.1","89.8","26.60","11.0","6.1","13","2018-06-25 13:00","1.5"
"26","1010.8","1011.1","1011.7","2018-06-26 00:01","1009.5","2018-06-26 15:52","29.7","33.5","2018-06-26 12:29","27.4","2018-06-26 05:09","24.6","74","66","2018-06-26 09:47","2.2","300","8.8","310","2018-06-26 12:15","T","0.2","T","2018-06-26 14:20","T","2018-06-26 14:20","6.5","48.3","16.99","10.0","-4.5","12","2018-06-26 12:00","5.0"
"27","1009.5","1009.9","1011.1","2018-06-27 00:02","1007.9","2018-06-27 18:04","29.0","33.0","2018-06-27 09:22","27.0","2018-06-27 04:27","24.3","76","64","2018-06-27 09:22","1.7","360","9.1","290","2018-06-27 12:24","8.5","1.7","3.5","2018-06-27 13:43","8.0","2018-06-27 13:20","6.4","47.5","15.65","10.3","-2.4","11","2018-06-27 12:00","5.2"
"28","1007.1","1007.4","1009.7","2018-06-28 00:02","1005.3","2018-06-28 16:49","29.6","32.1","2018-06-28 10:01","26.4","2018-06-28 05:09","24.7","75","69","2018-06-28 11:58","1.8","210","7.0","180","2018-06-28 12:03","0.0","0.0","0.0","","0.0","","12.2","90.6","25.94","12.8","6.6","13","2018-06-28 13:00","2.3"
"29","1004.5","1004.8","1006.1","2018-06-29 00:01","1002.5","2018-06-29 16:27","30.0","32.5","2018-06-29 13:19","27.7","2018-06-29 05:54","24.8","74","66","2018-06-29 10:15","1.6","290","6.4","280","2018-06-29 16:20","0.0","0.0","0.0","","0.0","","10.9","81.0","24.55","14.3","7.4","13","2018-06-29 13:00","3.5"
"30","1004.6","1004.9","1006.2","2018-06-30 23:33","1003.2","2018-06-30 15:56","29.6","33.1","2018-06-30 11:54","27.2","2018-06-30 05:59","24.7","75","66","2018-06-30 11:54","2.0","60","7.1","280","2018-06-30 12:17","0.0","0.0","0.0","","0.0","","8.7","64.6","22.57","11.0","5.1","12","2018-06-30 12:00","5.6"
