"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.6","1004.9","1006.1","2018-07-01 00:10","1003.3","2018-07-01 13:40","28.8","33.1","2018-07-01 15:20","26.6","2018-07-01 20:39","24.1","76","67","2018-07-01 15:20","2.3","290","11.2","280","2018-07-01 16:09","0.0","0.0","0.0","","0.0","","6.9","51.3","20.99","10.7","-3.6","10","2018-07-01 11:00","6.7"
"02","1004.6","1005.0","1006.0","2018-07-02 22:13","1003.1","2018-07-02 03:29","26.8","29.4","2018-07-02 08:59","25.1","2018-07-02 13:41","23.4","82","75","2018-07-02 00:24","2.1","280","11.4","330","2018-07-02 09:50","80.0","8.6","12.5","2018-07-02 10:56","17.0","2018-07-02 15:24","0.0","0.0","0.04","8.0","/","1","2018-07-02 13:00","9.8"
"03","1004.6","1005.0","1006.1","2018-07-03 08:57","1003.2","2018-07-03 16:14","26.7","32.3","2018-07-03 15:35","24.3","2018-07-03 05:24","23.6","83","73","2018-07-03 16:35","1.8","60","9.7","350","2018-07-03 10:08","92.0","5.6","8.5","2018-07-03 10:02","21.0","2018-07-03 00:47","2.3","17.1","9.20","8.5","/","9","2018-07-03 14:00","9.6"
"04","1004.2","1004.6","1006.3","2018-07-04 08:29","1002.7","2018-07-04 16:13","26.2","28.1","2018-07-04 15:59","25.0","2018-07-04 12:04","23.3","84","80","2018-07-04 17:43","1.4","50","7.6","300","2018-07-04 11:38","59.5","13.7","6.5","2018-07-04 13:17","14.5","2018-07-04 11:01","0.0","0.0","3.45","7.2","-6.2","2","2018-07-04 14:00","9.8"
"05","1004.2","1004.6","1005.8","2018-07-05 11:13","1002.9","2018-07-05 04:28","26.8","28.7","2018-07-05 13:53","25.2","2018-07-05 11:22","23.7","83","77","2018-07-05 14:29","1.3","70","8.3","350","2018-07-05 14:21","32.0","6.5","7.5","2018-07-05 11:38","23.0","2018-07-05 10:49","0.0","0.0","4.96","8.5","-1.4","4","2018-07-05 14:00","9.9"
"06","1004.1","1004.5","1005.8","2018-07-06 08:40","1002.8","2018-07-06 16:46","28.1","31.6","2018-07-06 12:34","25.0","2018-07-06 09:18","24.0","79","67","2018-07-06 18:06","1.2","160","5.6","230","2018-07-06 14:30","12.5","3.7","2.5","2018-07-06 03:29","5.5","2018-07-06 07:52","0.9","6.7","11.74","8.2","-7.8","10","2018-07-06 13:00","9.4"
"07","1005.0","1005.4","1006.6","2018-07-07 21:50","1003.7","2018-07-07 16:30","27.9","31.3","2018-07-07 13:05","25.4","2018-07-07 04:29","23.9","79","72","2018-07-07 13:49","1.6","170","7.7","200","2018-07-07 02:20","8.5","3.6","2.5","2018-07-07 15:20","5.5","2018-07-07 15:20","0.3","2.2","13.75","10.7","-2.7","9","2018-07-07 13:00","9.2"
"08","1005.5","1005.9","1007.6","2018-07-08 23:05","1003.7","2018-07-08 16:10","29.5","33.9","2018-07-08 11:10","25.2","2018-07-08 05:43","24.1","73","62","2018-07-08 11:19","1.6","170","8.2","190","2018-07-08 12:16","0.0","0.0","0.0","","0.0","","10.8","80.5","21.24","12.0","5.9","10","2018-07-08 11:00","4.6"
"09","1006.2","1006.5","1008.2","2018-07-09 09:29","1004.1","2018-07-09 17:02","30.1","32.8","2018-07-09 15:25","26.5","2018-07-09 05:14","24.9","74","66","2018-07-09 12:59","2.2","310","8.3","310","2018-07-09 12:26","0.0","0.0","0.0","","0.0","","10.8","80.6","24.46","10.3","6.1","12","2018-07-09 12:00","2.5"
"10","1002.7","1003.0","1006.4","2018-07-10 00:14","999.8","2018-07-10 17:33","30.3","32.7","2018-07-10 13:32","27.7","2018-07-10 04:30","24.7","72","61","2018-07-10 16:59","3.0","310","11.5","360","2018-07-10 21:58","0.0","0.0","0.0","","0.0","","10.1","75.4","24.05","11.3","7.5","12","2018-07-10 12:00","3.2"
"11","1001.9","1002.2","1005.8","2018-07-11 21:37","998.5","2018-07-11 05:16","30.1","32.4","2018-07-11 14:51","28.6","2018-07-11 00:54","24.6","73","67","2018-07-11 17:01","3.3","160","9.3","320","2018-07-11 01:19","0.0","0.0","0.0","","0.0","","9.5","71.0","23.05","11.0","4.9","13","2018-07-11 13:00","6.8"
"12","1005.5","1005.8","1007.6","2018-07-12 22:12","1003.9","2018-07-12 04:15","29.1","31.8","2018-07-12 10:24","27.6","2018-07-12 06:20","23.8","73","65","2018-07-12 02:17","2.2","170","9.6","150","2018-07-12 01:41","0.5","1.1","0.5","2018-07-12 22:05","0.5","2018-07-12 22:05","1.5","11.2","13.77","11.0","-3.5","8","2018-07-12 11:00","9.1"
"13","1006.0","1006.4","1007.3","2018-07-13 22:59","1004.1","2018-07-13 15:59","29.8","33.9","2018-07-13 13:00","25.7","2018-07-13 05:27","24.3","73","60","2018-07-13 13:57","2.5","170","11.4","150","2018-07-13 13:25","7.0","3.6","1.0","2018-07-13 04:54","3.5","2018-07-13 04:51","7.0","52.4","22.97","10.3","6.5","11","2018-07-13 12:00","6.9"
"14","1005.7","1006.0","1006.8","2018-07-14 22:50","1004.0","2018-07-14 16:04","29.5","33.4","2018-07-14 12:50","27.2","2018-07-14 05:08","24.0","73","65","2018-07-14 12:49","1.9","300","8.2","360","2018-07-14 17:29","1.0","0.5","1.0","2018-07-14 15:44","1.0","2018-07-14 15:44","8.2","61.4","20.02","9.3","-4.8","12","2018-07-14 13:00","4.0"
"15","1005.3","1005.6","1006.5","2018-07-15 00:09","1004.2","2018-07-15 16:46","29.2","32.5","2018-07-15 12:35","26.5","2018-07-15 05:12","24.4","75","70","2018-07-15 12:35","1.9","300","7.3","290","2018-07-15 14:34","0.0","0.0","0.0","","0.0","","6.2","46.5","19.36","10.7","5.2","13","2018-07-15 13:00","7.0"
"16","1003.1","1003.4","1005.0","2018-07-16 00:01","1001.6","2018-07-16 23:36","29.8","32.9","2018-07-16 11:14","27.6","2018-07-16 05:31","24.5","74","60","2018-07-16 11:03","2.1","280","6.3","300","2018-07-16 12:35","0.0","0.0","0.0","2018-07-16 00:00","0.0","2018-07-16 00:00","7.1","53.2","18.33","10.0","4.8","12","2018-07-16 12:00","4.9"
