"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.3","1018.7","1020.4","2018-01-01 09:01","1015.8","2018-01-01 15:31","20.5","25.1","2018-01-01 14:31","16.6","2018-01-01 04:23","14.4","68","60","2018-01-01 14:31","2.1","10","5.4","280","2018-01-01 13:54","0.0","0.0","0.0","","0.0","","7.7","71.7","14.08","4.5","0.7","5","2018-01-01 12:00","4.2"
"02","1018.0","1018.4","1020.0","2018-01-02 08:53","1015.8","2018-01-02 15:25","21.2","25.2","2018-01-02 13:58","17.6","2018-01-02 06:26","16.1","73","63","2018-01-02 10:42","1.9","350","6.4","310","2018-01-02 15:59","0.0","0.0","0.0","","0.0","","9.0","83.8","14.80","4.3","1.4","6","2018-01-02 13:00","0.3"
"03","1018.0","1018.4","1020.1","2018-01-03 08:53","1015.7","2018-01-03 14:27","21.6","25.8","2018-01-03 12:56","18.5","2018-01-03 02:54","17.0","75","64","2018-01-03 11:51","1.9","290","7.0","300","2018-01-03 14:14","0.0","0.0","0.0","","0.0","","7.1","66.1","12.66","5.2","2.8","6","2018-01-03 13:00","4.2"
"04","1016.2","1016.6","1018.4","2018-01-04 00:01","1014.6","2018-01-04 15:03","21.4","25.0","2018-01-04 10:28","18.9","2018-01-04 23:11","16.6","74","60","2018-01-04 11:48","2.1","20","8.8","320","2018-01-04 14:09","7.0","6.9","1.0","2018-01-04 20:52","2.5","2018-01-04 22:15","0.3","2.8","7.11","4.0","-1.7","4","2018-01-04 11:00","9.5"
"05","1014.3","1014.7","1016.3","2018-01-05 09:10","1012.3","2018-01-05 14:46","21.4","25.6","2018-01-05 12:11","19.0","2018-01-05 00:01","18.0","81","71","2018-01-05 12:30","2.1","20","6.7","360","2018-01-05 12:43","11.5","10.2","1.5","2018-01-05 03:25","5.5","2018-01-05 03:23","0.2","1.9","6.97","5.0","-6.9","5","2018-01-05 12:00","9.2"
"06","1014.3","1014.7","1016.0","2018-01-06 09:40","1012.7","2018-01-06 14:49","20.8","23.2","2018-01-06 13:39","18.9","2018-01-06 03:09","17.6","82","76","2018-01-06 13:39","1.8","330","5.8","20","2018-01-06 22:16","1.5","3.9","0.5","2018-01-06 00:28","0.5","2018-01-06 00:10","0.0","0.0","5.81","4.8","1.7","4","2018-01-06 13:00","9.8"
"07","1013.5","1013.9","1015.2","2018-01-07 00:19","1011.7","2018-01-07 14:14","22.3","26.5","2018-01-07 13:13","19.6","2018-01-07 05:33","18.3","78","68","2018-01-07 13:13","1.9","20","7.0","360","2018-01-07 01:49","0.0","0.0","0.0","","0.0","","6.5","60.3","14.07","7.8","2.0","6","2018-01-07 12:00","5.7"
"08","1012.9","1013.3","1015.2","2018-01-08 23:53","1011.1","2018-01-08 14:59","23.8","29.0","2018-01-08 13:36","21.4","2018-01-08 06:56","19.2","76","63","2018-01-08 22:33","2.7","360","12.5","360","2018-01-08 22:24","0.0","0.0","0.0","","0.0","","5.3","49.2","13.32","10.7","3.7","5","2018-01-08 12:00","7.0"
"09","1018.6","1019.0","1021.6","2018-01-09 21:30","1015.0","2018-01-09 00:02","17.2","22.4","2018-01-09 00:01","13.9","2018-01-09 23:58","12.8","76","63","2018-01-09 07:06","3.6","360","16.6","360","2018-01-09 04:53","1.0","5.7","0.5","2018-01-09 19:06","0.5","2018-01-09 18:16","0.0","0.0","1.92","9.5","-0.9","2","2018-01-09 12:00","9.7"
"10","1022.0","1022.4","1024.5","2018-01-10 09:44","1019.7","2018-01-10 15:00","15.5","20.0","2018-01-10 13:50","12.4","2018-01-10 06:17","9.7","69","58","2018-01-10 21:23","3.1","360","10.6","10","2018-01-10 03:38","1.5","2.4","0.5","2018-01-10 01:30","1.0","2018-01-10 01:30","1.8","16.7","9.45","8.7","4.5","5","2018-01-10 13:00","8.8"
"11","1023.1","1023.5","1024.8","2018-01-11 08:38","1020.8","2018-01-11 14:05","15.3","19.3","2018-01-11 12:29","12.7","2018-01-11 05:37","6.9","58","49","2018-01-11 03:34","3.1","360","10.5","360","2018-01-11 23:27","0.0","0.0","0.0","","0.0","","0.4","3.7","8.04","9.7","2.1","4","2018-01-11 13:00","8.5"
"12","1024.2","1024.6","1025.9","2018-01-12 09:15","1021.8","2018-01-12 14:32","15.0","20.5","2018-01-12 14:36","10.6","2018-01-12 06:09","6.9","59","52","2018-01-12 12:08","2.7","360","9.8","350","2018-01-12 02:39","0.0","0.0","0.0","","0.0","","9.5","87.8","15.49","11.0","3.6","5","2018-01-12 12:00","1.2"
"13","1023.9","1024.3","1026.0","2018-01-13 09:42","1021.4","2018-01-13 14:20","15.7","20.7","2018-01-13 13:12","10.4","2018-01-13 06:49","7.9","60","52","2018-01-13 15:27","2.2","360","7.0","290","2018-01-13 14:51","0.0","0.0","0.0","","0.0","","9.6","88.7","15.92","8.3","2.2","6","2018-01-13 13:00","0.3"
"14","1020.9","1021.3","1023.9","2018-01-14 00:02","1018.2","2018-01-14 15:12","17.4","23.1","2018-01-14 12:04","12.4","2018-01-14 06:48","9.9","63","44","2018-01-14 11:51","2.2","310","8.3","350","2018-01-14 17:27","0.0","0.0","0.0","","0.0","","10.0","92.3","16.36","9.7","3.1","6","2018-01-14 13:00","0.2"
"15","1017.1","1017.5","1019.9","2018-01-15 00:01","1014.8","2018-01-15 15:11","19.0","24.3","2018-01-15 14:02","14.4","2018-01-15 02:38","13.9","73","56","2018-01-15 10:38","2.2","20","6.3","320","2018-01-15 14:21","0.0","0.0","0.0","","0.0","","9.6","88.5","16.18","7.3","3.5","6","2018-01-15 13:00","0.2"
"16","1013.3","1013.7","1015.9","2018-01-16 00:01","1011.0","2018-01-16 15:53","21.7","27.6","2018-01-16 14:44","16.3","2018-01-16 06:45","14.7","65","45","2018-01-16 12:16","2.0","330","6.5","360","2018-01-16 13:21","0.0","0.0","0.0","","0.0","","5.9","54.3","13.40","6.5","3.2","6","2018-01-16 13:00","6.2"
"17","1012.9","1013.3","1014.3","2018-01-17 08:51","1011.5","2018-01-17 03:07","23.2","27.7","2018-01-17 11:30","21.6","2018-01-17 06:30","17.8","72","59","2018-01-17 00:01","1.5","30","5.2","350","2018-01-17 08:37","T","1.0","T","2018-01-17 15:31","T","2018-01-17 15:15","0.9","8.3","8.28","7.7","-1.7","5","2018-01-17 11:00","8.0"
"18","1014.9","1015.3","1016.4","2018-01-18 09:15","1012.8","2018-01-18 00:14","23.5","26.7","2018-01-18 11:06","20.6","2018-01-18 01:12","19.5","78","68","2018-01-18 11:06","1.5","280","4.8","290","2018-01-18 13:08","0.0","0.0","0.0","","0.0","","1.4","12.9","10.31","3.2","-3.9","5","2018-01-18 13:00","8.8"
"19","1015.8","1016.2","1017.6","2018-01-19 09:52","1014.0","2018-01-19 15:46","23.4","27.0","2018-01-19 12:03","21.0","2018-01-19 05:25","19.3","78","70","2018-01-19 12:00","1.7","350","6.6","320","2018-01-19 16:32","T","0.7","T","2018-01-19 04:48","T","2018-01-19 04:30","5.4","49.6","13.65","3.8","1.6","7","2018-01-19 13:00","6.8"
"20","1014.9","1015.3","1016.8","2018-01-20 09:13","1013.2","2018-01-20 14:43","22.6","25.9","2018-01-20 13:16","20.6","2018-01-20 04:01","18.6","78","71","2018-01-20 12:52","2.3","300","6.8","280","2018-01-20 14:28","0.0","0.0","0.0","","0.0","","8.5","77.9","14.76","3.7","3.4","6","2018-01-20 13:00","2.3"
"21","1013.5","1013.9","1015.9","2018-01-21 09:04","1011.6","2018-01-21 15:14","22.3","25.4","2018-01-21 13:17","19.7","2018-01-21 04:50","18.5","79","72","2018-01-21 13:14","1.8","310","5.4","290","2018-01-21 16:49","0.0","0.0","0.0","","0.0","","1.0","9.2","10.48","3.0","2.5","5","2018-01-21 13:00","8.2"
"22","1011.7","1012.1","1013.7","2018-01-22 22:53","1009.0","2018-01-22 14:42","23.2","28.8","2018-01-22 10:59","20.4","2018-01-22 03:58","18.2","74","56","2018-01-22 10:44","2.8","350","9.5","360","2018-01-22 08:00","0.0","0.0","0.0","","0.0","","5.6","51.2","13.74","6.3","3.4","7","2018-01-22 12:00","7.3"
"23","1013.6","1014.0","1014.9","2018-01-23 08:32","1011.9","2018-01-23 14:01","21.9","25.4","2018-01-23 11:04","19.2","2018-01-23 07:31","16.6","72","66","2018-01-23 12:36","2.2","350","6.4","300","2018-01-23 14:45","0.0","0.0","0.0","","0.0","","9.0","82.2","15.62","6.2","2.8","7","2018-01-23 13:00","3.8"
"24","1013.8","1014.2","1015.8","2018-01-24 09:16","1011.6","2018-01-24 14:53","21.7","25.9","2018-01-24 13:03","18.0","2018-01-24 05:16","16.6","73","63","2018-01-24 13:03","2.2","300","8.0","300","2018-01-24 14:27","0.0","0.0","0.0","","0.0","","7.1","64.8","14.01","3.8","3.2","6","2018-01-24 13:00","5.5"
"25","1014.0","1014.4","1015.9","2018-01-25 09:45","1012.1","2018-01-25 15:12","21.7","26.0","2018-01-25 12:16","19.0","2018-01-25 02:53","15.9","70","58","2018-01-25 13:51","2.3","350","6.2","320","2018-01-25 11:52","0.0","0.0","0.0","","0.0","","2.2","20.0","9.85","6.2","1.5","5","2018-01-25 12:00","7.0"
"26","1014.5","1014.9","1016.5","2018-01-26 09:01","1012.7","2018-01-26 14:12","21.3","27.5","2018-01-26 12:44","18.0","2018-01-26 05:54","15.5","70","58","2018-01-26 12:39","3.0","350","9.3","360","2018-01-26 05:25","0.0","0.0","0.0","","0.0","","7.8","71.0","15.10","5.2","2.7","7","2018-01-26 13:00","6.0"
"27","1015.2","1015.6","1017.6","2018-01-27 09:23","1013.9","2018-01-27 17:07","20.6","24.5","2018-01-27 13:22","17.3","2018-01-27 03:48","14.9","70","64","2018-01-27 10:53","2.0","350","6.5","320","2018-01-27 13:35","0.0","0.0","0.0","","0.0","","4.2","38.2","12.85","8.5","2.4","7","2018-01-27 13:00","7.2"
"28","1012.3","1012.7","1014.6","2018-01-28 09:07","1010.0","2018-01-28 14:57","21.6","29.3","2018-01-28 13:25","18.0","2018-01-28 03:33","16.6","73","58","2018-01-28 13:39","2.8","350","9.8","360","2018-01-28 08:30","T","0.1","T","2018-01-28 17:05","T","2018-01-28 17:05","3.8","34.5","10.89","3.8","-0.8","7","2018-01-28 13:00","5.5"
"29","1015.3","1015.7","1018.0","2018-01-29 22:00","1012.0","2018-01-29 02:28","17.9","20.7","2018-01-29 14:51","15.6","2018-01-29 08:48","13.6","76","70","2018-01-29 19:20","2.2","360","8.6","360","2018-01-29 02:22","0.5","0.3","0.5","2018-01-29 01:35","0.5","2018-01-29 01:35","0.0","0.0","6.43","5.8","-0.3","4","2018-01-29 13:00","10.0"
"30","1017.7","1018.1","1019.7","2018-01-30 07:43","1015.2","2018-01-30 15:43","17.9","21.9","2018-01-30 11:37","14.3","2018-01-30 03:32","12.7","72","59","2018-01-30 16:03","2.4","20","7.0","300","2018-01-30 12:47","0.5","1.9","0.5","2018-01-30 03:56","0.5","2018-01-30 03:01","3.0","27.2","12.56","6.7","1.2","7","2018-01-30 12:00","9.2"
"31","1016.5","1016.9","1018.5","2018-01-31 09:49","1013.6","2018-01-31 15:16","19.6","25.9","2018-01-31 14:12","16.0","2018-01-31 05:55","13.2","67","53","2018-01-31 13:57","3.4","360","11.0","360","2018-01-31 21:51","0.0","0.0","0.0","","0.0","","6.2","56.0","13.95","5.8","-0.3","7","2018-01-31 12:00","6.2"
