"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.9","1013.3","1014.7","2018-04-01 09:49","1011.5","2018-04-01 15:31","25.4","28.4","2018-04-01 12:55","23.1","2018-04-01 06:12","18.3","65","56","2018-04-01 13:44","2.1","280","7.0","290","2018-04-01 12:02","0.0","0.0","0.0","","0.0","","7.0","56.9","20.35","13.7","-4.4","10","2018-04-01 13:00","5.3"
"02","1013.2","1013.6","1014.6","2018-04-02 10:00","1011.8","2018-04-02 15:00","25.2","28.1","2018-04-02 13:43","22.7","2018-04-02 06:31","18.4","66","61","2018-04-02 13:01","2.2","290","6.8","280","2018-04-02 13:20","1.0","0.3","1.0","2018-04-02 01:40","1.0","2018-04-02 01:40","7.2","58.4","20.96","10.0","4.4","10","2018-04-02 12:00","5.0"
"03","1013.6","1014.0","1015.3","2018-04-03 09:58","1012.1","2018-04-03 03:22","25.6","28.8","2018-04-03 13:31","22.3","2018-04-03 06:10","18.5","65","59","2018-04-03 10:43","2.0","290","7.1","290","2018-04-03 11:53","0.0","0.0","0.0","","0.0","","10.5","85.0","22.31","7.8","5.9","9","2018-04-03 13:00","1.7"
"04","1012.7","1013.1","1014.4","2018-04-04 09:54","1011.3","2018-04-04 15:45","26.0","28.8","2018-04-04 13:36","23.7","2018-04-04 03:13","19.0","66","61","2018-04-04 12:34","1.8","10","6.4","270","2018-04-04 13:45","0.0","0.0","0.0","","0.0","","6.7","54.2","18.95","5.5","5.0","8","2018-04-04 12:00","5.3"
"05","1011.7","1012.1","1013.5","2018-04-05 09:29","1010.1","2018-04-05 16:20","26.5","29.8","2018-04-05 14:18","24.0","2018-04-05 06:04","19.7","66","60","2018-04-05 11:08","2.4","180","8.3","200","2018-04-05 14:34","0.0","0.0","0.0","","0.0","","8.6","69.4","22.46","10.2","5.6","10","2018-04-05 12:00","4.8"
"06","1013.0","1013.4","1017.3","2018-04-06 23:40","1010.1","2018-04-06 02:45","25.4","29.5","2018-04-06 13:30","18.9","2018-04-06 23:55","18.6","66","60","2018-04-06 19:42","3.4","350","11.1","360","2018-04-06 21:23","0.0","0.0","0.0","","0.0","","7.2","58.0","17.79","11.0","-4.8","9","2018-04-06 13:00","5.5"
"07","1019.6","1020.0","1021.7","2018-04-07 09:06","1017.1","2018-04-07 00:08","20.0","22.7","2018-04-07 12:34","17.4","2018-04-07 01:15","11.1","57","52","2018-04-07 09:15","2.5","360","10.1","360","2018-04-07 03:12","0.5","0.8","0.5","2018-04-07 01:01","0.5","2018-04-07 00:45","0.1","0.8","6.94","10.3","4.3","6","2018-04-07 13:00","10.0"
"08","1019.1","1019.5","1020.7","2018-04-08 00:01","1017.6","2018-04-08 15:31","22.1","26.4","2018-04-08 14:02","18.6","2018-04-08 05:48","13.5","58","49","2018-04-08 12:51","2.3","310","7.8","290","2018-04-08 15:29","0.0","0.0","0.0","","0.0","","8.0","64.2","22.19","9.3","5.5","10","2018-04-08 13:00","4.3"
"09","1017.6","1018.0","1019.7","2018-04-09 08:14","1015.7","2018-04-09 16:04","23.2","26.8","2018-04-09 13:49","19.3","2018-04-09 05:52","14.5","58","52","2018-04-09 09:53","2.2","280","7.2","280","2018-04-09 11:58","0.0","0.0","0.0","","0.0","","11.0","88.1","23.58","9.7","4.8","9","2018-04-09 13:00","2.5"
"10","1014.8","1015.2","1017.0","2018-04-10 07:47","1012.8","2018-04-10 15:22","25.1","29.4","2018-04-10 12:25","20.5","2018-04-10 01:54","16.6","60","45","2018-04-10 09:36","1.8","60","5.3","210","2018-04-10 13:05","0.0","0.0","0.0","","0.0","","5.1","40.8","17.42","11.7","3.0","9","2018-04-10 13:00","6.7"
