ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpHrMax	PrecpHrMaxTime	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	1014.9	1015.3	1016.5	2017/12/1 20:52	1013.2	2017/12/1 03:45	23.9	28.3	2017/12/1 11:58	21.6	2017/12/1 04:08	18.7	73	64	2017/12/1 11:58	2.1	350	6.5	360	2017/12/1 04:06	0	0	0		0		1.5	13.9	9.04	5.3	2.3	5	2017/12/1 12:00	7.7
2	1015.2	1015.6	1017	2017/12/2 08:30	1013.6	2017/12/2 15:16	24	28.7	2017/12/2 13:05	21.2	2017/12/2 06:18	18.6	72	64	2017/12/2 12:56	2.5	350	6.7	360	2017/12/2 22:24	0	0	0		0		3.1	28.7	10.67	6	2.6	5	2017/12/2 12:00	5.8
3	1014.1	1014.5	1016.1	2017/12/3 08:28	1011.7	2017/12/3 15:18	24.1	29.4	2017/12/3 13:03	21.4	2017/12/3 06:09	19.2	74	62	2017/12/3 13:16	2.4	350	6.9	360	2017/12/3 06:53	0	0	0		0		3.1	28.8	10.71	6.7	2	5	2017/12/3 12:00	6.8
4	1014.6	1015	1016.2	2017/12/4 09:02	1012.7	2017/12/4 15:00	23.2	28.4	2017/12/4 13:08	20.1	2017/12/4 06:59	17.4	70	59	2017/12/4 13:53	2.1	350	6.3	320	2017/12/4 16:11	0	0	0		0		8.8	81.7	14.52	5.7	2.6	5	2017/12/4 13:00	2.7
5	1016.7	1017.1	1019.5	2017/12/5 08:25	1015	2017/12/5 16:11	22.2	26.1	2017/12/5 12:35	19	2017/12/5 23:06	15	64	55	2017/12/5 15:11	1.9	340	8.2	360	2017/12/5 08:20	0	0	0		0		6	55.8	11.85	5.5	2.4	4	2017/12/5 12:00	4
6	1016.3	1016.7	1017.5	2017/12/6 07:27	1015	2017/12/6 03:01	21.4	26.2	2017/12/6 12:57	18	2017/12/6 05:04	13.9	63	55	2017/12/6 15:01	2.5	20	7.7	360	2017/12/6 14:07	0	0	0		0		2.6	24.2	10.06	6.5	1.8	4	2017/12/6 13:00	9
7	1014.9	1015.3	1016.4	2017/12/7 07:51	1012.7	2017/12/7 15:08	22.5	28.1	2017/12/7 12:35	18.6	2017/12/7 06:19	15.2	64	53	2017/12/7 11:23	3.2	360	10.4	300	2017/12/7 13:35	0	0	0		0		7	65.1	13.63	10.3	2.6	6	2017/12/7 12:00	5.3
8	1016.4	1016.8	1018	2017/12/8 21:19	1014.7	2017/12/8 14:43	18.7	21.7	2017/12/8 00:01	16	2017/12/8 21:14	12.7	68	61	2017/12/8 15:42	3.4	10	9.9	360	2017/12/8 02:28	0	0	0		0		0	0	3.63	7.7	1.5	3	2017/12/8 11:00	9
9	1016.7	1017.1	1018.4	2017/12/9 07:29	1014.5	2017/12/9 15:18	18.5	22.9	2017/12/9 14:54	15.5	2017/12/9 02:44	12.9	70	61	2017/12/9 14:50	2.2	360	6.6	360	2017/12/9 23:58	0	0	0		0		0.7	6.5	6.93	4.5	1.9	3	2017/12/9 13:00	7.5
10	1015.7	1016.1	1017.6	2017/12/10 09:45	1014	2017/12/10 15:16	20.4	25.4	2017/12/10 12:08	16.8	2017/12/10 06:05	14.8	70	56	2017/12/10 11:47	2.6	10	8.6	330	2017/12/10 14:38	0	0	0		0		9.2	85.7	14.97	6.5	3.4	6	2017/12/10 12:00	4.8
