"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.1","1018.5","1020.7","2018-02-01 21:56","1016.0","2018-02-01 15:46","16.5","19.8","2018-02-01 15:20","13.8","2018-02-01 07:27","11.0","70","64","2018-02-01 15:19","2.6","10","8.8","360","2018-02-01 05:39","1.0","0.5","0.5","2018-02-01 02:26","0.5","2018-02-01 02:26","0.1","0.9","5.92","4.8","0.9","4","2018-02-01 13:00","10.0"
"02","1020.1","1020.5","1022.1","2018-02-02 21:39","1017.8","2018-02-02 14:16","17.4","22.3","2018-02-02 11:16","14.6","2018-02-02 23:29","11.0","66","58","2018-02-02 14:01","3.7","350","13.6","360","2018-02-02 18:24","0.0","0.0","0.0","","0.0","","5.6","50.5","13.33","6.8","2.4","5","2018-02-02 12:00","7.5"
"03","1021.4","1021.8","1023.2","2018-02-03 09:08","1019.4","2018-02-03 15:11","14.8","18.1","2018-02-03 11:58","12.9","2018-02-03 07:07","8.3","65","59","2018-02-03 11:51","3.5","360","9.6","360","2018-02-03 03:06","0.0","0.0","0.0","","0.0","","0.7","6.3","7.44","4.3","1.3","4","2018-02-03 12:00","9.0"
"04","1022.0","1022.4","1023.5","2018-02-04 23:50","1020.0","2018-02-04 14:16","13.4","16.6","2018-02-04 14:02","11.7","2018-02-04 03:46","6.9","65","57","2018-02-04 13:42","3.4","360","9.5","360","2018-02-04 20:03","0.0","0.0","0.0","","0.0","","0.0","0.0","6.90","8.8","0.8","4","2018-02-04 12:00","8.3"
"05","1022.4","1022.8","1024.4","2018-02-05 09:48","1020.0","2018-02-05 15:12","11.6","13.2","2018-02-05 11:44","10.7","2018-02-05 06:36","5.2","65","59","2018-02-05 13:44","3.9","10","10.7","360","2018-02-05 12:43","0.0","0.0","0.0","","0.0","","0.0","0.0","4.33","11.0","6.9","2","2018-02-05 12:00","8.7"
"06","1019.9","1020.3","1023.1","2018-02-06 00:29","1017.2","2018-02-06 15:35","14.4","19.7","2018-02-06 13:36","10.2","2018-02-06 06:29","6.2","58","48","2018-02-06 15:17","3.0","10","8.8","360","2018-02-06 00:40","0.0","0.0","0.0","","0.0","","5.9","52.8","15.74","8.7","8.1","6","2018-02-06 13:00","6.0"
"07","1018.2","1018.6","1020.1","2018-02-07 09:43","1015.7","2018-02-07 14:56","15.1","18.4","2018-02-07 13:58","12.6","2018-02-07 06:24","8.8","67","57","2018-02-07 11:25","2.3","360","10.2","360","2018-02-07 23:43","0.0","0.0","0.0","","0.0","","0.0","0.0","4.82","5.8","1.4","3","2018-02-07 14:00","8.8"
"08","1016.3","1016.7","1018.8","2018-02-08 00:01","1014.3","2018-02-08 15:09","16.6","20.3","2018-02-08 12:56","14.2","2018-02-08 03:13","11.5","72","62","2018-02-08 12:55","2.0","10","6.5","360","2018-02-08 00:09","0.0","0.0","0.0","","0.0","","0.1","0.9","7.54","6.3","0.9","5","2018-02-08 13:00","9.5"
"09","1014.9","1015.3","1016.7","2018-02-09 09:31","1012.4","2018-02-09 15:34","19.3","24.5","2018-02-09 13:05","15.8","2018-02-09 01:27","13.8","71","59","2018-02-09 13:00","2.5","10","8.5","350","2018-02-09 09:26","0.0","0.0","0.0","","0.0","","6.2","55.3","14.53","4.7","2.7","...","","4.2"
"10","1015.1","1015.5","1017.3","2018-02-10 23:22","1012.6","2018-02-10 14:32","20.7","26.9","2018-02-10 14:21","17.0","2018-02-10 05:50","15.1","71","55","2018-02-10 14:21","3.0","360","9.0","350","2018-02-10 15:33","0.0","0.0","0.0","","0.0","","8.5","75.6","17.76","4.3","-2.8","...","","4.5"
