"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.2","1010.5","1012.4","2018-09-01 00:03","1008.0","2018-09-01 15:35","29.0","32.7","2018-09-01 12:46","26.1","2018-09-01 05:53","23.9","75","64","2018-09-01 14:13","1.7","310","7.4","290","2018-09-01 14:05","0.0","0.0","0.0","2018-09-01 00:00","0.0","2018-09-01 00:00","8.1","64.7","21.40","12.2","7.4","10","2018-09-01 13:00","5.7"
"02","1007.5","1007.9","1009.8","2018-09-02 00:01","1006.0","2018-09-02 14:36","28.7","32.3","2018-09-02 14:17","25.9","2018-09-02 05:32","23.7","75","66","2018-09-02 09:37","1.8","70","8.3","290","2018-09-02 13:03","0.0","0.0","0.0","2018-09-02 00:00","0.0","2018-09-02 00:00","8.2","65.6","20.14","11.7","4.5","11","2018-09-02 13:00","4.3"
"03","1006.2","1006.5","1007.4","2018-09-03 00:01","1004.4","2018-09-03 16:34","28.9","32.3","2018-09-03 13:50","25.4","2018-09-03 05:32","23.8","74","67","2018-09-03 14:32","2.4","320","8.8","320","2018-09-03 15:23","0.0","0.0","0.0","2018-09-03 00:00","0.0","2018-09-03 00:00","11.3","90.6","23.79","11.0","-5.0","12","2018-09-03 12:00","1.7"
"04","1005.3","1005.6","1006.4","2018-09-04 08:18","1003.3","2018-09-04 15:47","29.3","32.7","2018-09-04 11:09","26.3","2018-09-04 05:35","24.8","77","68","2018-09-04 10:57","2.1","280","7.3","270","2018-09-04 15:50","T","0.5","T","2018-09-04 08:10","T","2018-09-04 08:10","8.2","65.9","20.47","11.8","4.9","12","2018-09-04 13:00","5.2"
"05","1005.4","1005.7","1007.0","2018-09-05 21:42","1003.3","2018-09-05 14:55","29.6","32.7","2018-09-05 13:34","27.9","2018-09-05 23:56","25.1","77","70","2018-09-05 13:06","1.6","290","5.8","310","2018-09-05 13:34","0.0","0.0","0.0","2018-09-05 00:00","0.0","2018-09-05 00:00","8.6","69.2","20.43","11.0","5.9","10","2018-09-05 13:00","5.4"
"06","1005.7","1006.1","1007.5","2018-09-06 22:43","1004.0","2018-09-06 15:38","28.3","32.5","2018-09-06 12:52","26.1","2018-09-06 19:00","24.1","78","71","2018-09-06 08:56","1.5","70","7.1","360","2018-09-06 16:29","21.5","2.8","6.5","2018-09-06 16:29","17.0","2018-09-06 15:42","5.5","44.3","13.42","9.7","-5.1","9","2018-09-06 13:00","6.0"
"07","1006.4","1006.8","1008.2","2018-09-07 21:07","1004.3","2018-09-07 15:23","28.4","31.5","2018-09-07 13:59","25.9","2018-09-07 04:32","24.0","78","71","2018-09-07 09:44","1.6","50","6.7","50","2018-09-07 18:14","8.5","0.6","7.0","2018-09-07 18:10","8.5","2018-09-07 18:10","9.0","72.7","19.58","10.0","-5.6","11","2018-09-07 12:00","3.4"
"08","1007.6","1008.0","1009.2","2018-09-08 21:39","1005.9","2018-09-08 15:29","27.8","31.8","2018-09-08 13:22","25.8","2018-09-08 19:26","23.4","77","66","2018-09-08 12:16","1.7","60","11.0","360","2018-09-08 16:39","8.0","3.9","2.0","2018-09-08 18:03","4.5","2018-09-08 17:58","5.2","42.1","15.94","9.5","-3.5","10","2018-09-08 13:00","8.1"
"09","1008.0","1008.4","1009.8","2018-09-09 22:14","1006.1","2018-09-09 15:57","28.7","32.9","2018-09-09 13:08","25.5","2018-09-09 04:59","24.2","77","67","2018-09-09 12:38","2.7","160","9.6","310","2018-09-09 14:51","4.5","0.3","4.0","2018-09-09 15:59","4.5","2018-09-09 15:38","8.9","72.1","20.70","8.5","-5.5","10","2018-09-09 13:00","4.5"
"10","1007.3","1007.6","1009.0","2018-09-10 08:08","1005.7","2018-09-10 15:08","28.0","32.2","2018-09-10 11:15","26.6","2018-09-10 05:11","23.6","78","67","2018-09-10 11:02","1.6","290","6.2","290","2018-09-10 13:01","7.0","3.4","1.0","2018-09-10 17:24","3.0","2018-09-10 17:10","1.3","10.6","10.15","9.3","-1.4","8","2018-09-10 12:00","8.6"
"11","1007.6","1008.0","1009.7","2018-09-11 22:58","1005.7","2018-09-11 02:46","28.9","33.3","2018-09-11 14:33","25.2","2018-09-11 00:24","24.3","77","64","2018-09-11 13:07","1.9","190","7.3","150","2018-09-11 15:04","5.5","1.3","3.0","2018-09-11 00:12","4.5","2018-09-11 00:01","6.1","49.6","17.03","11.0","4.1","11","2018-09-11 12:00","7.0"
"12","1008.8","1009.2","1010.1","2018-09-12 21:52","1007.3","2018-09-12 14:33","29.4","32.5","2018-09-12 12:11","27.6","2018-09-12 06:10","24.7","76","66","2018-09-12 17:18","1.8","330","7.4","320","2018-09-12 14:59","0.0","0.0","0.0","2018-09-12 00:00","0.0","2018-09-12 00:00","7.2","58.7","17.04","8.5","4.3","10","2018-09-12 12:00","7.2"
"13","1008.7","1009.0","1010.2","2018-09-13 09:33","1007.3","2018-09-13 15:49","29.2","32.1","2018-09-13 13:58","27.2","2018-09-13 05:07","24.8","77","71","2018-09-13 15:04","2.0","300","7.3","320","2018-09-13 15:00","0.0","0.0","0.0","2018-09-13 00:00","0.0","2018-09-13 00:00","6.9","56.3","16.64","7.0","3.9","10","2018-09-13 13:00","4.5"
