stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018100100 01 1014.0 00011  22.7  15.3  48   2.8  63
466920 2018100100 10 1000.0 00132  22.4  13.6  87   5.2  57
466920 2018100100 06  998.3 00148  22.6  13.6  91   5.5  56
466920 2018100100 06  978.9 00319  22.0  13.3 118   9.8  57
466920 2018100100 02  970.9 00388  22.2  12.9 119  11.8  55
466920 2018100100 10  925.0 00807  19.5   6.8  90  13.2  43
466920 2018100100 02  892.4 01113  16.9   4.0  74  15.1  42
466920 2018100100 06  880.5 01227  16.7  -1.2  75  16.0  29
466920 2018100100 10  850.0 01528  15.1  -5.1  62  15.5  24
466920 2018100100 06  801.6 02024  14.1 -17.8  48   5.2   9
466920 2018100100 02  789.1 02156  13.7 -21.9  96   2.5   6
466920 2018100100 04  762.9 02438  11.7 -26.6   7   1.2   5
466920 2018100100 02  708.9 03047   9.1 -36.0 328   3.5   2
466920 2018100100 10  700.0 03153   8.3 -32.7 328   2.7   3
466920 2018100100 02  691.3 03251   8.0 -32.5 298   1.4   3
466920 2018100100 02  677.3 03423   8.7 -37.1 335   2.4   2
466920 2018100100 06  630.2 04015   6.0 -41.0 267   5.0   1
466920 2018100100 06  608.5 04299   4.7 -46.1 288   7.3   1
466920 2018100100 02  594.6 04490   4.9 -29.3 286   9.3   6
466920 2018100100 04  581.3 04672   3.4 -22.5 283  10.7  12
466920 2018100100 02  568.7 04849   2.4 -27.9 277   8.3   8
466920 2018100100 02  558.0 05002   1.0  -7.9 277   6.7  51
466920 2018100100 06  555.7 05036   0.7  -8.3 277   6.5  50
466920 2018100100 02  526.4 05468  -3.4  -8.4 285   9.2  68
466920 2018100100 06  516.3 05620  -4.1 -12.1 289  11.3  53
466920 2018100100 10  500.0 05872  -5.8 -14.1 281  10.0  51
466920 2018100100 06  489.7 06038  -6.5 -16.0 278   8.9  47
466920 2018100100 06  481.8 06161  -7.0 -17.1 252   7.5  44
466920 2018100100 02  479.9 06193  -7.1 -16.8 252   8.3  46
466920 2018100100 06  466.7 06409  -7.7 -18.8 262   8.3  40
466920 2018100100 06  457.5 06564  -8.1 -23.3 236   7.6  28
466920 2018100100 02  436.0 06935 -10.5 -31.0 255   9.0  16
466920 2018100100 06  416.8 07283 -12.2 -30.7 262   8.4  19
466920 2018100100 10  400.0 07597 -14.3 -33.2 240  10.6  18
466920 2018100100 02  396.7 07659 -14.4 -35.3 232  11.8  15
466920 2018100100 06  370.2 08179 -17.4 -35.3 277   8.5  19
466920 2018100100 02  368.6 08211 -17.6 -35.6 278   8.5  19
466920 2018100100 06  337.5 08861 -23.1 -38.4 245  10.6  23
466920 2018100100 10  300.0 09717 -30.4 -45.2 265  13.9  22
466920 2018100100 02  274.6 10337 -36.3 -47.3 282  17.9  31
466920 2018100100 06  272.8 10380 -36.5 -50.1 284  17.7  23
466920 2018100100 06  257.3 10785 -39.2 -56.0 262  15.3  15
466920 2018100100 10  250.0 10980 -40.8 -58.4 265  17.3  13
466920 2018100100 06  210.3 12142 -48.0 -69.9 259  17.9   6
466920 2018100100 10  200.0 12469 -49.7 -71.8 241  14.7   6
466920 2018100100 06  194.8 12641 -50.5 -75.0 227  15.0   4
466920 2018100100 02  193.1 12695 -50.4 -77.8 227  14.8   2
466920 2018100100 06  181.5 13099 -52.5 -76.6 258  13.1   4
466920 2018100100 02  179.4 13174 -52.8 -76.9 259  12.2   4
466920 2018100100 06  167.5 13613 -56.4 -77.0 262  12.0   6
466920 2018100100 04  160.4 13884 -58.4 -75.2 248  10.5  10
466920 2018100100 10  150.0 14304 -62.2 -74.2 240  13.4  19
466920 2018100100 06  145.1 14506 -64.2 -74.7 238  12.9  23
466920 2018100100 06  136.1 14902 -66.8 -76.8 204  14.3  24
466920 2018100100 02  130.9 15135 -68.8 -76.7 200  15.7  32
466920 2018100100 06  121.9 15553 -72.2 -80.5 186  18.5  29
466920 2018100100 02  113.8 15954 -75.3 -84.7 191  16.4  23
466920 2018100100 06  109.5 16178 -76.8 -86.5 186  16.4  21
466920 2018100100 02  100.1 16688 -79.1 -87.5 221   8.4  25
466920 2018100100 10  100.0 16694 -79.1 -87.5 221   8.4  25
466920 2018100100 06   92.5 17135 -82.6 -88.0 252   6.2  41
466920 2018100100 03   91.1 17220 -83.0 -88.1 264   5.8  42
466920 2018100100 06   89.0 17349 -82.5 -88.0 296   5.1  40
466920 2018100100 04   85.1 17603 -80.7 -86.2 233   0.7  41
466920 2018100100 06   82.9 17751 -80.7 -86.3 165   5.2  40
466920 2018100100 02   80.4 17923 -81.2 -88.3 182   7.2  31
466920 2018100100 06   78.4 18062 -77.8 -88.0 211   5.1  19
466920 2018100100 06   72.2 18537 -71.5 -93.0 105   5.1   3
466920 2018100100 06   70.8 18661 -71.4 -96.0 117   7.1   1
466920 2018100100 10   70.0 18726 -70.6 -98.4 106   6.4   1
466920 2018100100 02   68.5 18856 -68.3 -98.0  67   7.0   0
466920 2018100100 06   68.0 18895 -68.4 -98.9  57   8.1   0
466920 2018100100 06   66.8 19008 -68.7 -97.3  57  10.2   0
466920 2018100100 20   62.6 19398 -68.8 -93.5 119  12.9   2
466920 2018100112 01 1014.6 00011  25.0  17.5  60   2.5  63
466920 2018100112 06 1004.8 00097  24.6  17.2  84   5.2  63
466920 2018100112 10 1000.0 00137  24.1  17.1  88   7.2  64
466920 2018100112 06  981.4 00301  22.6  17.0  90  11.6  70
466920 2018100112 06  950.0 00585  20.2  17.0  79  11.9  82
466920 2018100112 02  941.7 00660  19.4  16.8  81  12.1  84
466920 2018100112 02  926.1 00805  18.5  15.2  92  11.4  80
466920 2018100112 10  925.0 00815  18.4  14.6  93  11.4  77
466920 2018100112 02  919.3 00868  18.8   9.0  97  11.9  52
466920 2018100112 06  915.0 00908  18.5   9.4  97  12.3  55
466920 2018100112 02  867.7 01361  14.5  10.3  85  12.3  75
466920 2018100112 10  850.0 01534  13.4   8.3  83  13.3  71
466920 2018100112 02  849.1 01543  13.3   7.8  83  13.2  69
466920 2018100112 06  840.7 01628  14.4   1.1  79  12.8  40
466920 2018100112 02  840.1 01635  14.4   0.7  79  12.8  39
466920 2018100112 06  810.1 01938  12.0  -1.5  86  10.4  39
466920 2018100112 02  805.9 01981  11.6  -0.7  84  10.0  42
466920 2018100112 06  785.2 02199  11.2  -7.6  65  10.8  25
466920 2018100112 02  782.4 02230  11.0  -8.0  61  10.4  25
466920 2018100112 02  768.8 02378  12.9 -18.0  28   9.5   9
466920 2018100112 02  766.1 02406  13.3  -8.2  23   9.7  21
466920 2018100112 06  763.5 02434  13.1  -7.2  20  10.0  23
466920 2018100112 02  755.8 02519  12.7  -4.6  16  11.4  29
466920 2018100112 06  736.2 02738  11.3  -6.8   1  13.9  27
466920 2018100112 06  706.4 03082   9.3 -10.5  10   5.0  23
466920 2018100112 10  700.0 03157   8.9  -9.7  10   4.0  25
466920 2018100112 04  669.5 03525   5.4 -10.0 294   0.7  31
466920 2018100112 02  661.6 03619   4.8  -8.7 250   2.3  36
466920 2018100112 02  647.6 03796   6.0 -35.7 283   4.1   3
466920 2018100112 06  641.3 03873   6.0 -38.0 298   5.0   2
466920 2018100112 06  617.5 04182   4.4 -41.5 303   7.0   1
466920 2018100112 02  601.9 04390   3.2 -42.9 274   6.7   1
466920 2018100112 06  595.4 04478   3.8 -26.3 258   7.9   8
466920 2018100112 02  590.7 04543   3.8 -11.2 256   7.9  32
466920 2018100112 02  573.7 04779   1.7  -6.2 269   6.2  55
466920 2018100112 06  571.4 04812   1.4  -6.0 269   6.4  57
466920 2018100112 02  544.8 05194  -1.9  -7.3 253   8.5  66
466920 2018100112 06  540.5 05256  -2.1 -10.1 250   8.7  54
466920 2018100112 02  506.1 05775  -4.7 -17.3 262   9.5  36
466920 2018100112 10  500.0 05870  -5.4 -16.7 263   9.5  40
466920 2018100112 06  498.3 05897  -5.6 -16.6 264   9.5  41
466920 2018100112 02  475.9 06257  -7.8 -16.0 251  10.7  51
466920 2018100112 06  472.6 06312  -8.0 -18.5 251  10.3  42
466920 2018100112 02  466.7 06408  -8.3 -24.0 254  10.1  26
466920 2018100112 02  458.1 06552  -9.3 -18.7 259  10.8  46
466920 2018100112 06  446.7 06747 -10.3 -22.1 273  11.4  37
466920 2018100112 02  446.4 06753 -10.3 -22.3 273  11.4  36
466920 2018100112 06  437.9 06900 -10.4 -25.1 259   9.5  28
466920 2018100112 06  400.3 07586 -14.9 -28.7 273  10.3  29
466920 2018100112 10  400.0 07591 -14.9 -28.8 273  10.3  29
466920 2018100112 06  368.2 08214 -18.8 -39.4 240  10.6  14
466920 2018100112 02  348.4 08624 -21.1 -42.2 259  11.8  13
466920 2018100112 06  345.7 08680 -21.5 -42.4 261  11.7  13
466920 2018100112 04  331.9 08980 -23.8 -46.5 246  16.5  10
466920 2018100112 06  320.6 09230 -26.0 -47.2 236  14.6  11
466920 2018100112 04  304.4 09604 -29.2 -46.2 244  12.7  17
466920 2018100112 10  300.0 09707 -30.2 -46.0 246  13.8  20
466920 2018100112 06  257.1 10780 -40.5 -46.1 270  18.5  54
466920 2018100112 02  256.3 10804 -40.7 -46.2 270  18.4  55
466920 2018100112 02  254.4 10851 -41.0 -48.4 269  17.3  45
466920 2018100112 02  253.4 10880 -40.2 -62.2 267  16.7   7
466920 2018100112 02  251.7 10928 -39.7 -66.4 264  16.0   4
466920 2018100112 02  251.4 10935 -39.8 -66.1 264  15.9   4
466920 2018100112 10  250.0 10970 -40.1 -63.5 261  15.7   6
466920 2018100112 04  226.8 11629 -45.7 -62.7 260  13.7  13
466920 2018100112 02  214.0 12014 -48.9 -62.6 252  20.1  19
466920 2018100112 06  208.5 12183 -49.1 -66.9 248  21.3  11
466920 2018100112 10  200.0 12457 -50.6 -68.7 255  23.3  10
466920 2018100112 04  195.9 12589 -51.7 -68.7 258  23.8  11
466920 2018100112 06  176.3 13266 -56.8 -71.2 266  21.7  15
466920 2018100112 06  164.5 13702 -59.5 -74.4 238  18.1  13
466920 2018100112 06  150.5 14253 -63.0 -76.7 240  16.3  14
466920 2018100112 10  150.0 14274 -63.2 -76.9 241  16.1  14
466920 2018100112 06  143.2 14560 -64.4 -79.6 261  14.7  11
466920 2018100112 02  138.5 14762 -65.7 -81.1 251  13.1  10
466920 2018100112 06  118.8 15678 -73.6 -81.5 253  15.5  30
466920 2018100112 02  116.9 15772 -74.4 -81.7 248  15.8  33
466920 2018100112 06  110.8 16080 -75.9 -83.6 230  14.0  30
466920 2018100112 06  102.2 16548 -78.5 -85.5 255   8.3  33
466920 2018100112 12  100.0 16669 -79.5 -86.0 246   7.8  35
466920 2018100112 03   98.4 16760 -80.2 -86.6 234   7.0  35
466920 2018100112 02   94.5 16989 -80.5 -87.6 178   8.7  31
466920 2018100112 06   94.4 16995 -80.3 -87.5 176   9.1  31
466920 2018100112 06   89.1 17327 -77.2 -86.6 163  11.3  22
466920 2018100112 06   84.7 17616 -74.7 -86.6 163   6.1  15
466920 2018100112 02   83.5 17704 -72.9 -86.2 154   3.6  12
466920 2018100112 04   81.2 17864 -74.3 -87.0 103   2.1  13
466920 2018100112 02   77.6 18122 -76.2 -87.7  98   4.1  16
466920 2018100112 06   76.4 18213 -75.5 -87.4 129   5.0  15
466920 2018100112 06   74.4 18367 -75.0 -87.9 184   6.2  13
466920 2018100112 06   70.9 18650 -72.9 -88.7 201   9.9   8
466920 2018100112 10   70.0 18726 -72.4 -88.9 208   8.8   7
466920 2018100112 04   64.3 19226 -70.0 -89.7  27   0.2   4
466920 2018100112 06   62.7 19379 -68.7 -90.3 323   5.0   3
466920 2018100112 06   58.2 19827 -66.2 -89.9  25   5.0   2
466920 2018100112 02   56.3 20026 -63.4 -89.6  37   6.2   1
466920 2018100112 06   53.5 20341 -64.3 -89.4  50   9.1   2
466920 2018100112 16   50.0 20756 -63.7 -89.8 140   5.2   1
466920 2018100112 06   49.5 20814 -63.7 -90.0 148   5.0   1
466920 2018100112 02   48.3 20965 -62.5 -89.3 146   2.0   1
466920 2018100112 04   47.8 21026 -62.7 -89.3 100   1.1   1
466920 2018100112 06   46.7 21178 -62.9 -89.2  59   5.0   1
466920 2018100112 04   44.3 21503 -61.6 -88.9 102  10.3   1
466920 2018100112 06   43.2 21657 -62.1 -89.0 122   8.1   1
