stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018080100 01 1003.9 00011  28.5  24.9 176   0.5  81
466920 2018080100 10 1000.0 00045  28.4  24.2 181   1.7  77
466920 2018080100 06  971.7 00301  26.3  23.6 239   5.0  84
466920 2018080100 02  946.5 00534  24.2  23.1 238  10.7  93
466920 2018080100 06  934.9 00642  24.0  21.9 244  14.7  88
466920 2018080100 10  925.0 00736  23.7  20.9 250  14.5  84
466920 2018080100 06  904.6 00931  22.8  18.3 245  13.4  75
466920 2018080100 06  889.6 01078  22.3  19.2 262  12.6  82
466920 2018080100 06  865.9 01314  20.9  18.0 249  11.3  82
466920 2018080100 02  862.0 01350  20.7  18.1 251  10.5  84
466920 2018080100 02  852.5 01449  21.2  16.3 263   9.0  73
466920 2018080100 10  850.0 01474  21.0  16.3 265   8.9  74
466920 2018080100 02  833.4 01644  20.2  12.6 278   7.8  61
466920 2018080100 06  812.9 01859  18.3  14.2 292   5.3  77
466920 2018080100 06  772.9 02288  15.3  11.7 284   7.0  78
466920 2018080100 06  758.1 02454  14.6  10.8 297   7.2  78
466920 2018080100 06  735.6 02709  13.0   9.1 293   7.0  77
466920 2018080100 02  725.4 02827  12.2   9.0 310   6.6  80
466920 2018080100 06  721.9 02866  12.2   7.9 314   6.9  74
466920 2018080100 02  718.8 02903  12.5   5.0 312   6.9  60
466920 2018080100 10  700.0 03125  10.9   6.3 299   5.6  73
466920 2018080100 06  691.6 03225  10.5   5.7 287   5.7  71
466920 2018080100 06  665.6 03545   8.8   4.0 319   9.0  71
466920 2018080100 06  652.0 03716   7.9   2.9 312   7.9  70
466920 2018080100 06  636.8 03909   6.5   2.4 329   7.5  75
466920 2018080100 06  624.7 04067   5.5   1.7 310   8.0  76
466920 2018080100 06  598.0 04424   2.9   0.0 306  11.4  81
466920 2018080100 06  573.0 04766   0.8  -1.6 290  10.8  84
466920 2018080100 06  559.6 04957  -0.9  -1.7 298   8.7  94
466920 2018080100 02  558.5 04974  -1.0  -1.7 297   8.4  95
466920 2018080100 06  548.9 05112  -1.6  -2.3 273   8.0  95
