stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018020100 01 1022.8 00011  10.3   8.2  50   1.3  87
466920 2018020100 10 1000.0 00198   8.6   7.4 353   3.1  92
466920 2018020100 02  946.0 00656   5.2   5.2  55   5.1 100
466920 2018020100 10  925.0 00838   4.2   4.2  51   6.5 100
466920 2018020100 06  885.5 01192   2.2   2.2  57   9.0 100
466920 2018020100 10  850.0 01521   0.5   0.5  69   7.9 100
466920 2018020100 06  834.4 01672   0.5   0.5  88   5.4 100
466920 2018020100 02  828.7 01726   0.2   0.2 107   4.2 100
466920 2018020100 04  822.7 01783   0.3   0.3 161   3.0 100
466920 2018020100 06  817.1 01837   1.0   1.0 211   5.3 100
466920 2018020100 02  815.8 01852   1.1   1.1 216   6.1 100
466920 2018020100 02  806.3 01945   4.5   3.7 228  11.3  94
466920 2018020100 02  792.2 02090   5.5   4.9 236  15.6  95
466920 2018020100 06  791.0 02103   5.4   4.7 237  15.7  95
466920 2018020100 02  777.4 02245   4.7   4.0 244  17.5  94
466920 2018020100 04  775.1 02270   4.6   3.8 245  17.8  94
466920 2018020100 02  766.2 02363   4.1   3.7 248  17.8  97
466920 2018020100 02  749.3 02545   2.8   1.9 257  17.6  93
466920 2018020100 02  743.8 02603   3.4  -3.0 261  17.1  63
466920 2018020100 02  735.5 02696   3.3  -4.1 268  16.7  58
466920 2018020100 06  723.3 02832   2.3  -4.8 275  17.9  59
466920 2018020100 10  700.0 03094   1.0  -5.2 272  23.5  63
466920 2018020100 02  643.0 03772  -3.5  -6.9 253  27.3  77
466920 2018020100 02  620.2 04056  -4.9  -7.1 241  29.3  84
466920 2018020100 06  597.3 04352  -5.4 -10.6 237  29.7  67
466920 2018020100 02  544.5 05073  -8.8 -33.6 258  31.3  11
466920 2018020100 02  543.1 05095  -8.8 -33.6 258  31.5  11
466920 2018020100 06  518.6 05449 -11.5 -31.3 264  30.8  17
466920 2018020100 10  500.0 05727 -13.9 -29.6 263  27.4  25
466920 2018020100 06  482.5 05996 -15.6 -29.2 260  25.3  30
466920 2018020100 02  481.6 06012 -15.7 -29.1 260  25.3  30
466920 2018020100 02  470.4 06189 -15.0 -31.2 261  27.1  23
466920 2018020100 02  418.4 07069 -16.8 -49.4 259  48.3   4
466920 2018020100 04  415.3 07126 -17.1 -46.4 257  48.5   6
466920 2018020100 10  400.0 07407 -18.1 -50.0 249  48.0   4
466920 2018020100 02  373.6 07912 -20.8 -55.2 247  48.5   3
466920 2018020100 02  343.8 08521 -26.4 -52.8 248  51.1   6
466920 2018020100 02  300.1 09492 -31.8 -59.6 251  55.0   4
466920 2018020100 10  300.0 09493 -31.8 -59.6 251  55.0   4
466920 2018020100 02  261.0 10463 -40.3 -61.4 249  57.0   8
