stno: Observation's Number (Length: 6 digits)
yyyymmddhh: UTC Time, yyyy: year, mm: month, dd: day, hh: hour (Length: 11 digits)
Si: Significant Code (Length: 3 digits)
Press: Pressure (Uint: hpa, Length: 7 digits)
Heigh: Geopotential Height (Unit: gpm, Length: 6 digits)
Tx: Temperature (Unit: degrees Celsius, Length: 6 digits)
Td: Dew Point (Unit: degrees Celsius, Length: 6 digits)
Wd: Wind Direction (Unit: degrees 360, Length: 4 digits)
Ws: Wind Speed (Unit: m/s, Length: 6 digits)
RH: Relative Humidity (Unit: %, Length: 4 digits)
-----------------------------------------------------------
  stno yyyymmddhh Si  Press Heigh    Tx    Td  Wd    Ws  RH
-----------------------------------------------------------
466920 2018070100 01 1003.9 00011  27.6  23.0 201   0.1  76
466920 2018070100 10 1000.0 00045  27.3  23.0 110   1.5  77
466920 2018070100 06  978.4 00238  26.0  21.8 265   5.0  77
466920 2018070100 06  956.7 00438  25.3  20.7 249   8.6  75
466920 2018070100 10  925.0 00733  22.9  21.5 252   9.6  92
466920 2018070100 06  912.4 00854  22.2  20.6 252  10.7  90
466920 2018070100 02  890.7 01062  20.7  19.9 252  10.7  94
466920 2018070100 10  850.0 01468  18.9  16.9 263   9.6  87
466920 2018070100 06  800.1 01986  16.8  13.1 277   8.3  79
466920 2018070100 06  753.7 02495  14.2  10.6 308   5.0  78
466920 2018070100 10  700.0 03117  11.3   6.1 348   2.5  70
466920 2018070100 02  693.1 03200  10.8   6.7 359   2.4  75
466920 2018070100 02  682.3 03330  11.1   2.0  47   1.8  53
466920 2018070100 04  665.2 03544  10.4   0.7  95   1.1  50
466920 2018070100 02  590.6 04522   3.3   0.0  53   3.3  79
466920 2018070100 02  580.3 04663   3.1  -4.2  62   2.6  58
466920 2018070100 02  535.3 05314  -1.2  -7.3 146   1.4  63
466920 2018070100 02  526.8 05440  -2.3  -5.2 120   1.5  80
466920 2018070100 02  518.3 05569  -2.4  -9.2 102   1.2  59
466920 2018070100 10  500.0 05857  -4.0  -8.4 299   1.4  71
466920 2018070100 02  487.6 06056  -4.6  -9.2 313   2.7  70
466920 2018070100 02  476.4 06236  -5.4 -15.6 328   4.8  44
466920 2018070100 02  473.7 06281  -5.8  -9.3 316   4.7  76
466920 2018070100 02  462.5 06467  -6.9 -10.7 352   2.8  74
466920 2018070100 02  460.5 06503  -6.8 -16.1 345   2.9  47
466920 2018070100 02  449.3 06693  -8.2 -12.6 294   2.1  70
466920 2018070100 02  439.8 06859  -9.3 -15.6  30   1.1  60
466920 2018070100 02  438.3 06886  -9.0 -22.7  49   1.3  32
466920 2018070100 02  437.9 06892  -9.1 -22.6  51   1.4  32
466920 2018070100 02  426.5 07096 -10.7 -18.3 117   4.0  53
466920 2018070100 02  422.5 07170 -10.9 -27.7 117   3.8  23
466920 2018070100 02  417.3 07265 -11.5 -24.6 107   3.7  32
466920 2018070100 02  415.6 07296 -11.8 -18.2 108   3.8  59
466920 2018070100 02  414.7 07313 -11.9 -21.5 110   3.8  44
466920 2018070100 02  400.7 07575 -13.8 -17.3  92   0.6  74
466920 2018070100 10  400.0 07587 -13.9 -17.4  51   0.2  74
466920 2018070100 04  399.4 07600 -13.9 -17.8   4   0.2  71
466920 2018070100 02  392.9 07723 -14.4 -20.7 275   1.0  58
466920 2018070100 02  382.5 07924 -16.0 -18.8 247   2.3  79
466920 2018070100 02  368.2 08213 -18.2 -24.5 282   2.7  57
466920 2018070100 02  362.3 08332 -19.3 -22.5 293   3.9  75
466920 2018070100 02  360.2 08373 -19.4 -34.0 294   4.3  26
466920 2018070100 02  358.3 08415 -19.4 -38.9 293   4.6  16
466920 2018070100 06  356.0 08462 -19.7 -33.3 296   5.0  29
466920 2018070100 02  353.8 08508 -20.2 -26.2 304   5.4  59
466920 2018070100 02  352.4 08538 -20.1 -32.5 309   5.6  32
466920 2018070100 06  349.1 08609 -20.7 -29.2 318   5.8  46
466920 2018070100 02  347.4 08643 -21.1 -29.4 318   5.6  47
466920 2018070100 02  344.4 08706 -20.9 -42.9 311   5.9  12
466920 2018070100 04  339.4 08815 -21.6 -43.8 308   7.5  11
466920 2018070100 02  336.9 08870 -22.1 -43.6 311   7.1  12
466920 2018070100 02  326.6 09098 -23.7 -28.7 305   7.1  63
466920 2018070100 06  320.1 09244 -24.6 -28.2 297   5.0  72
466920 2018070100 02  312.8 09414 -26.1 -28.7 296   3.8  79
466920 2018070100 02  303.3 09634 -27.9 -31.7 345   1.3  70
466920 2018070100 10  300.0 09712 -28.2 -37.7  29   1.3  40
466920 2018070100 02  298.2 09755 -28.2 -45.5  63   1.3  17
466920 2018070100 02  297.0 09787 -28.4 -44.6  82   1.6  19
466920 2018070100 02  284.4 10095 -30.9 -52.2  21   1.5  10
466920 2018070100 02  276.1 10305 -32.6 -42.7  43   0.4  36
466920 2018070100 10  250.0 10994 -37.9 -52.7 178   1.2  20
466920 2018070100 02  247.9 11052 -38.4 -57.2 177   1.4  12
466920 2018070100 02  243.1 11185 -39.5 -56.4 124   0.9  15
466920 2018070100 02  205.8 12300 -49.1 -52.2  17   1.6  70
466920 2018070100 10  200.0 12488 -50.9 -55.6  31   1.2  57
466920 2018070100 02  197.9 12555 -51.4 -57.2 348   1.0  50
466920 2018070100 02  188.8 12860 -54.3 -58.4 269   1.5  61
466920 2018070100 02  186.1 12952 -55.1 -63.3 297   1.7  35
466920 2018070100 02  185.2 12984 -55.2 -67.7 307   2.1  20
466920 2018070100 04  172.4 13436 -58.2 -68.2 309   0.1  27
466920 2018070100 06  153.2 14170 -64.3 -70.2  33   5.5  45
466920 2018070100 02  152.7 14193 -64.5 -70.3  32   5.4  45
466920 2018070100 10  150.0 14299 -65.3 -72.7  33   4.1  36
466920 2018070100 02  144.2 14539 -67.1 -80.7 355   3.6  14
466920 2018070100 04  129.1 15199 -71.2 -80.7  65   0.8  24
466920 2018070100 02  124.3 15423 -72.2 -83.2  37   4.8  19
466920 2018070100 06  124.0 15436 -72.2 -83.2  37   5.2  18
466920 2018070100 06  120.4 15610 -71.9 -83.6  24   8.8  17
466920 2018070100 03  106.8 16306 -75.2 -85.0  13  15.0  21
466920 2018070100 06  105.1 16403 -74.5 -85.8  19  15.9  17
466920 2018070100 12  100.0 16694 -72.4 -87.4  63  13.3   9
466920 2018070100 06   97.5 16845 -73.5 -87.0  79  13.1  12
466920 2018070100 02   91.7 17194 -75.7 -87.5  57   9.2  15
466920 2018070100 06   90.3 17287 -75.0 -88.2  47  10.2  12
466920 2018070100 06   82.2 17836 -74.1 -89.2  61   8.0   9
466920 2018070100 06   79.0 18065 -72.4 -89.3  37  10.5   7
466920 2018070100 06   75.6 18329 -70.2 -89.3  61  11.6   5
466920 2018070100 10   70.0 18782 -70.1 -90.0  73  12.5   4
466920 2018070100 04   60.0 19713 -67.2 -89.2  89  19.2   3
466920 2018070100 02   54.8 20259 -65.6 -89.2  89  15.8   2
466920 2018070100 02   52.9 20475 -67.0 -89.8  94  12.0   3
466920 2018070100 06   52.4 20529 -66.2 -89.9  90  11.8   2
466920 2018070100 06   50.8 20721 -64.1 -89.5  76  15.7   2
466920 2018070100 10   50.0 20815 -63.8 -89.1  78  18.7   2
466920 2018070100 04   47.5 21131 -62.3 -88.6  85  23.5   2
466920 2018070100 06   40.7 22097 -59.2 -87.0  93  23.5   1
466920 2018070100 02   38.6 22435 -56.6 -86.2  85  24.7   1
466920 2018070100 02   37.0 22702 -57.9 -86.0  84  22.5   1
466920 2018070100 06   35.1 23020 -57.7 -86.2  87  25.7   1
466920 2018070100 10   30.0 24024 -54.0 -84.6  95  22.0   1
466920 2018070100 04   29.3 24177 -54.1 -84.5  97  20.5   1
466920 2018070100 06   26.6 24802 -52.6 -83.8  99  26.1   1
466920 2018070100 02   21.1 26309 -49.0 -82.1  88  20.9   1
466920 2018070100 06   20.8 26403 -49.6 -82.3  87  20.9   1
466920 2018070100 10   20.0 26655 -49.6 -82.4  90  22.7   1
466920 2018070100 06   18.7 27084 -49.9 -82.6 111  22.6   1
466920 2018070100 02   18.6 27112 -50.1 -82.7 111  22.6   1
466920 2018070100 06   17.4 27569 -48.1 -82.3  89  23.7   1
466920 2018070100 06   16.7 27847 -47.9 -81.8 100  22.5   1
466920 2018070100 06   15.5 28314 -47.3 -81.7  86  28.6   1
466920 2018070100 06   14.9 28574 -47.5 -81.7  96  25.5   1
466920 2018070100 06   12.3 29889 -42.4 -79.8  92  18.2   0
466920 2018070100 06   10.8 30741 -40.7 -79.2  67  23.0   0
466920 2018070100 10   10.0 31285 -41.6 -79.5  84  29.4   0
466920 2018070100 04    9.8 31390 -41.2 -79.6  87  29.8   0
466920 2018070100 20    9.0 31973 -38.8 -78.8  94  25.0   0
466920 2018070112 01 1002.8 00011  29.9  23.1 218   2.5  67
466920 2018070112 10 1000.0 00036  29.4  23.4 230   1.9  70
466920 2018070112 06  956.9 00427  25.8  24.2 289   5.6  90
466920 2018070112 06  936.7 00617  24.1  23.9 293   6.9  98
466920 2018070112 02  930.4 00675  23.7  23.7 287   7.1 100
466920 2018070112 10  925.0 00726  23.4  23.3 282   7.8  99
466920 2018070112 06  891.7 01048  21.1  20.9 260  10.7  98
466920 2018070112 02  880.2 01161  20.2  19.3 261   9.9  94
466920 2018070112 10  850.0 01463  19.8  16.4 265   8.7  81
466920 2018070112 02  825.5 01714  18.2  14.2 273   9.2  77
466920 2018070112 02  818.9 01784  18.4  12.1 272   8.3  66
466920 2018070112 06  788.3 02110  16.3  12.6 274   7.7  78
466920 2018070112 02  762.3 02396  14.1  12.0 301   6.3  87
466920 2018070112 06  758.6 02436  13.9  11.6 303   5.9  85
466920 2018070112 02  723.0 02843  12.5   5.0 307   6.9  59
466920 2018070112 06  712.6 02963  11.9   5.1 302   6.1  63
466920 2018070112 10  700.0 03113  11.1   4.9 319   6.4  65
466920 2018070112 06  690.6 03224  10.5   4.9 334   7.2  68
466920 2018070112 02  633.6 03939   7.3  -1.0 336   5.0  55
466920 2018070112 06  630.1 03985   7.0  -1.1 335   5.3  56
466920 2018070112 02  620.5 04112   6.1   1.2 343   5.5  70
466920 2018070112 06  609.8 04253   5.3  -0.2 347   5.3  67
466920 2018070112 06  600.1 04386   4.4  -1.1   8   5.1  67
466920 2018070112 02  520.9 05524  -2.0 -10.7 320   2.9  51
466920 2018070112 02  513.5 05639  -2.6  -5.9  18   1.6  77
466920 2018070112 10  500.0 05848  -3.9  -8.8 354   1.8  68
466920 2018070112 02  495.4 05921  -4.1 -11.0 350   1.9  58
466920 2018070112 02  482.7 06127  -5.9  -6.7 308   1.2  93
466920 2018070112 02  467.7 06377  -6.8 -10.4  64   1.8  75
466920 2018070112 02  464.8 06420  -6.9 -14.8  85   2.4  53
466920 2018070112 02  456.3 06566  -8.2  -9.6  22   2.1  90
466920 2018070112 02  451.0 06656  -8.0 -19.9 358   3.7  37
466920 2018070112 02  442.7 06799  -9.1 -17.3 336   3.4  51
466920 2018070112 02  437.3 06894  -9.3 -23.9 327   3.4  29
466920 2018070112 02  430.2 07022 -10.5 -15.1 293   3.7  69
466920 2018070112 02  424.5 07125 -11.1 -15.0 297   4.1  73
466920 2018070112 02  422.7 07157 -11.0 -18.5 306   4.2  54
466920 2018070112 02  419.6 07213 -11.5 -15.6 318   4.6  71
466920 2018070112 06  416.0 07281 -12.0 -16.8 313   5.0  67
466920 2018070112 02  408.6 07416 -13.1 -19.9 297   6.4  56
466920 2018070112 02  405.4 07478 -13.2 -27.9 291   5.8  27
466920 2018070112 06  402.8 07526 -13.5 -23.9 288   5.0  41
466920 2018070112 10  400.0 07578 -14.0 -23.1 288   4.2  46
466920 2018070112 02  397.6 07626 -14.4 -23.6 291   4.1  45
466920 2018070112 02  393.2 07708 -14.7 -34.1 291   4.7  17
466920 2018070112 06  388.9 07791 -14.9 -32.0 287   5.3  21
466920 2018070112 06  383.6 07895 -15.5 -31.9 306   5.0  23
466920 2018070112 02  377.5 08016 -16.0 -41.4 322   3.8   9
466920 2018070112 02  367.5 08219 -17.1 -31.1 313   2.7  28
466920 2018070112 02  365.6 08258 -17.0 -29.6 305   2.6  32
466920 2018070112 02  354.6 08487 -18.9 -25.0 299   3.1  58
466920 2018070112 02  334.1 08925 -22.1 -29.5 296   2.9  50
466920 2018070112 02  325.8 09112 -22.8 -38.4   5   2.0  22
466920 2018070112 02  316.3 09328 -24.5 -36.1 299   3.3  33
466920 2018070112 10  300.0 09709 -27.5 -45.9 303   3.2  15
466920 2018070112 02  294.3 09847 -28.7 -42.4 326   4.1  25
466920 2018070112 02  287.3 10018 -29.7 -52.6 315   2.7   9
466920 2018070112 02  279.4 10218 -30.9 -43.8  10   1.1  27
466920 2018070112 02  270.4 10448 -31.9 -52.3 143   0.5  11
466920 2018070112 04  268.0 10513 -32.4 -53.6 107   0.1  10
466920 2018070112 10  250.0 11000 -37.1 -54.1 350   2.6  15
466920 2018070112 06  235.0 11419 -41.1 -54.5 355   5.8  22
466920 2018070112 02  221.8 11812 -44.1 -56.2  19   5.1  25
466920 2018070112 06  221.5 11820 -44.2 -56.4  19   5.1  25
466920 2018070112 10  200.0 12497 -50.0 -63.7 346   4.4  18
466920 2018070112 06  181.8 13110 -54.9 -69.6 316   5.9  15
466920 2018070112 02  172.9 13429 -57.4 -77.9 328  10.8   6
466920 2018070112 02  164.4 13750 -60.4 -75.1 337  13.9  13
466920 2018070112 02  158.0 13992 -62.2 -72.0 343  14.6  26
466920 2018070112 02  154.5 14130 -63.2 -83.2 342  14.2   5
466920 2018070112 10  150.0 14311 -64.2 -81.0 339  11.8   9
466920 2018070112 06  139.0 14777 -67.4 -81.1 352  12.3  13
466920 2018070112 02  134.0 14994 -68.6 -81.8  13  12.4  14
466920 2018070112 04  125.2 15398 -70.1 -82.9  56  17.2  14
466920 2018070112 06  123.1 15498 -70.8 -82.8  66  16.6  16
466920 2018070112 06  107.3 16302 -78.1 -82.5  85  10.5  50
466920 2018070112 02  101.9 16595 -79.7 -83.5  63   9.8  54
466920 2018070112 03  100.1 16695 -80.4 -84.3  54  10.8  53
466920 2018070112 10  100.0 16700 -80.4 -84.3  54  10.8  53
466920 2018070112 06   96.7 16886 -79.9 -85.1  39  15.6  44
466920 2018070112 06   92.8 17126 -79.6 -86.3  53  14.4  34
466920 2018070112 06   89.5 17328 -79.3 -88.2  42  15.0  23
466920 2018070112 02   89.1 17354 -79.4 -88.9  44  15.5  21
466920 2018070112 04   88.2 17414 -77.6 -89.1  50  16.1  15
466920 2018070112 02   82.2 17826 -69.8 -93.7  88  14.9   2
466920 2018070112 06   82.0 17837 -69.9 -93.8  89  15.0   2
466920 2018070112 02   79.4 18027 -71.1 -91.1  86  15.0   4
466920 2018070112 06   78.9 18065 -70.8 -90.7  84  14.5   4
466920 2018070112 06   75.6 18319 -68.1 -90.0  44  12.4   3
466920 2018070112 02   74.0 18450 -66.3 -89.8  51  14.6   2
466920 2018070112 06   71.5 18659 -65.8 -89.3  82  16.0   2
466920 2018070112 10   70.0 18789 -66.1 -89.4  81  14.5   2
466920 2018070112 06   66.0 19143 -63.9 -88.6  58  11.6   2
466920 2018070112 02   63.3 19399 -62.6 -88.1  60  14.0   2
466920 2018070112 06   60.5 19679 -63.9 -88.1  68  12.2   2
466920 2018070112 04   59.0 19835 -64.4 -88.3  56  11.8   2
466920 2018070112 06   58.0 19937 -64.6 -88.6  50  13.1   2
466920 2018070112 06   53.7 20412 -64.8 -88.7  87  20.9   2
466920 2018070112 10   50.0 20846 -65.3 -88.8  91  19.6   2
466920 2018070112 02   49.6 20889 -65.6 -89.0  91  19.1   2
466920 2018070112 06   44.9 21505 -62.3 -88.6  81  19.0   2
466920 2018070112 06   41.2 22046 -60.3 -87.1 101  16.0   1
466920 2018070112 04   40.4 22157 -59.7 -87.3  94  15.2   1
466920 2018070112 06   38.2 22515 -57.9 -86.3  80  21.8   1
466920 2018070112 04   34.7 23115 -57.8 -86.2  89  17.5   1
466920 2018070112 06   32.9 23449 -55.8 -85.5  89  24.5   1
466920 2018070112 02   31.5 23736 -53.8 -84.5  79  22.3   1
466920 2018070112 10   30.0 24045 -53.5 -84.0  78  20.8   1
466920 2018070112 06   25.1 25209 -51.9 -83.2  76  25.9   1
466920 2018070112 02   22.6 25883 -50.9 -82.9  77  21.9   1
466920 2018070112 10   20.0 26677 -49.0 -82.5  89  21.0   1
466920 2018070112 02   17.7 27481 -45.8 -80.9  96  20.2   0
466920 2018070112 06   16.7 27852 -46.4 -80.8 101  17.2   1
466920 2018070112 04   15.0 28593 -47.2 -81.3  76  15.4   1
466920 2018070112 06   14.6 28774 -47.8 -81.6  66  16.2   1
466920 2018070112 02   13.9 29080 -48.5 -82.0  70  21.8   1
466920 2018070112 05   11.4 30402 -40.5 -79.2  82  31.0   0
466920 2018070112 06   11.0 30659 -38.6 -78.1  77  29.0   0
466920 2018070112 06   10.5 30977 -37.2 -77.4 102  27.7   0
466920 2018070112 20    9.9 31412 -35.7 -76.9  89  20.7   0
466920 2018070200 01 1001.4 00011  28.9  22.9 215   1.8  70
466920 2018070200 10 1000.0 00023  28.8  22.7 215   1.8  69
